Resistance Nominal (Ω),Capacitance Nominal (F),Resistance Actual (Ω),Capacitance Actual (F),Frequency Nominal (Hz),Frequency Actual (Hz),R Tolerance,C Tolerance
100.0,1e-12,100.86756343311723,9.943160235799396e-13,1591549430.9189532,1586880280.3747919,0.01,0.01
100.0,1e-12,104.27290364837651,9.798097578414233e-13,1591549430.9189532,1557782798.975281,0.05,0.05
100.0,1e-12,98.28577374152897,1.0985143655810808e-12,1591549430.9189532,1474089083.5728667,0.1,0.1
100.0,1.0101999999999998e-08,100.30359524384902,1.0047828239720199e-08,157547.95396148818,157917.92510869724,0.01,0.01
100.0,1.0101999999999998e-08,95.62005559003933,1.0098895027022068e-08,157547.95396148818,164815.20760853266,0.05,0.05
100.0,1.0101999999999998e-08,94.36832231811805,1.0705243670650714e-08,157547.95396148818,157542.35760438064,0.1,0.1
100.0,2.0203e-08,100.05408202978509,2.0310867877431838e-08,78777.87610349717,78317.14348870375,0.01,0.01
100.0,2.0203e-08,99.34856514266058,1.9333892954679762e-08,78777.87610349717,82858.91131544203,0.05,0.05
100.0,2.0203e-08,90.79328361185381,1.8358065886433127e-08,78777.87610349717,95485.95245440035,0.1,0.1
100.0,3.0304e-08,99.04884824407736,3.018927363089653e-08,52519.45059790633,53225.29019512225,0.01,0.01
100.0,3.0304e-08,100.27991488893558,2.9157464156023545e-08,52519.45059790633,54432.267290424665,0.05,0.05
100.0,3.0304e-08,91.19943266003617,2.7906467822448698e-08,52519.45059790633,62534.99573336651,0.1,0.1
100.0,4.0405e-08,100.72982246493768,4.037715520102386e-08,39389.912904812605,39131.486504698834,0.01,0.01
100.0,4.0405e-08,100.43315445483263,4.190421240968961e-08,39389.912904812605,37816.84954417555,0.05,0.05
100.0,4.0405e-08,99.93952677939252,3.992700006402948e-08,39389.912904812605,39885.603024194286,0.1,0.1
100.0,5.0505999999999996e-08,99.90843447395348,5.0577162079075974e-08,31512.086304972745,31496.58880927584,0.01,0.01
100.0,5.0505999999999996e-08,103.34205115806236,4.868579724403302e-08,31512.086304972745,31633.028182414295,0.05,0.05
100.0,5.0505999999999996e-08,100.19616031910363,5.532425910005093e-08,31512.086304972745,28711.338939341702,0.1,0.1
100.0,6.0607e-08,100.8983116005201,6.10548571849091e-08,26260.158577704777,25835.4489601436,0.01,0.01
100.0,6.0607e-08,98.77419278765802,6.344574627024676e-08,26260.158577704777,25396.51541605766,0.05,0.05
100.0,6.0607e-08,109.8362588787405,6.056654855014085e-08,26260.158577704777,23924.42859478296,0.1,0.1
100.0,7.0708e-08,99.00194569063376,7.137354294416745e-08,22508.760407859838,22523.669510132444,0.01,0.01
100.0,7.0708e-08,100.7983052639017,7.224276508334247e-08,22508.760407859838,21856.09356147522,0.05,0.05
100.0,7.0708e-08,94.16236537138587,7.262147171095877e-08,22508.760407859838,23274.35885915352,0.1,0.1
100.0,8.080899999999999e-08,100.5846568057317,8.073264397073974e-08,19695.200174720063,19599.23938721691,0.01,0.01
100.0,8.080899999999999e-08,102.95181389695345,8.398480149001224e-08,19695.200174720063,18407.102419644823,0.05,0.05
100.0,8.080899999999999e-08,107.94361980531772,8.791959552612928e-08,19695.200174720063,16770.170285732172,0.1,0.1
100.0,9.090999999999998e-08,100.06358232585151,9.1392040924473e-08,17506.868671421777,17403.46439026254,0.01,0.01
